art;ref;year;type.measure;category;measure2;measure;between_ef;study;environ;dyad.type;order;genus;sp;trait;disp;display;fight.cat;fighting.style;RHP_losers;S_losers;N_losers;RHP_winners;S_winners;N_winners;Chi_sq;N_chi;z-score;N_z;p_z;rs;N_rs;paired_t;pairedt_N;pairedt_p;wilcox_z;wilcox_n;wilcox_p;F_value;F_N;F_p;yi;vi;N
ar90;Green_Patek;2015;body_length;comprimento_corpo;length;linear;156;44;lab;paired;Hoplocarida;Neogondactylus;Neogonodactylus bredini;body;weapon;weapon;weapon;impact;429.722.549;5.403.579.105;34;4.328.147.059;5.263.980.276;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.057306473;0.05925476;
ar90;Green_Patek;2015;body_mass;massa_corpo;mass;mass;157;44;lab;paired;Hoplocarida;Neogondactylus;Neogonodactylus bredini;body;weapon;weapon;weapon;impact;1.557.748.628;0.544309584;34;1.632.278.431;0.565298156;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.132778337;0.05936115;
ar90;Green_Patek;2015;claw_strength;forca_arma;strength;performance;158;44;lab;paired;Hoplocarida;Neogondactylus;Neogonodactylus bredini;weapon;weapon;weapon;weapon;impact;1.374.552.922;5.956.512.666;34;1.349.755.211;7.673.106.842;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.035690681;0.05924044;
ar101;Hall_et_al;2010;body_weight;massa_corpo;mass;mass;159;45;lab;paired;Orthoptera;Teleogryllus;Teleogryllus commodus;body;weapon;weapon;interm;lift.impact;0.724;0.104795038;38;0.736;0.117123866;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.10688237;0.05303618;
ar101;Hall_et_al;2010;bite_force;forca_arma;strength;performance;160;45;lab;paired;Orthoptera;Teleogryllus;Teleogryllus commodus;weapon;weapon;weapon;interm;lift.impact;1.398;0.536304018;38;1.683;0.752058508;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.431905941;0.0543256;
ar106;Emlen;1997;body_size;comprimento_corpo;length;linear;161;46;lab;paired;Coleoptera;Onthopagus;Onthophagus acuminatus;body;weapon;weapon;body;lift.push;NA;NA;NA;NA;NA;NA;6.4;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.29;1.01;
ar106;Emlen;1997;horn_length;comprimento_arma;length;linear;162;46;lab;paired;Coleoptera;Onthopagus;Onthophagus acuminatus;weapon;weapon;weapon;body;lift.push;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;696;26;NA;NA;NA;NA;NA;NA;6573;26;37;0.7;0.08;
ar120;Bohorquez-Alonso_et_al;2018;body_length;comprimento_corpo;length;linear;163;47;lab;paired;Lizard;Gallotia;Gallotia galloti;body;weapon;weapon;weapon;squeeze;111.82;7.108.417.545;29;114.38;6.246.791.176;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.37742503;0.07019353;
ar120;Bohorquez-Alonso_et_al;2018;body_mass;massa_corpo;mass;mass;164;47;lab;paired;Lizard;Gallotia;Gallotia galloti;body;weapon;weapon;weapon;squeeze;47.21;1.077.032.961;29;52.62;8.993.225.228;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.53793145;0.07146009;
ar120;Bohorquez-Alonso_et_al;2018;head_width;comprimento_arma;width;linear;165;47;lab;paired;Lizard;Gallotia;Gallotia galloti;weapon;weapon;weapon;weapon;squeeze;16.75;3.985.021.957;29;16.84;306.954.394;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.02496256;0.06897089;
ar120;Bohorquez-Alonso_et_al;2018;body_length;comprimento_corpo;length;linear;166;47;lab;paired;Lizard;Gallotia;Gallotia galloti;body;weapon;weapon;weapon;squeeze;114.42;7.544.428.408;24;120.58;6.221.703.947;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.87622969;0.09133103;
ar120;Bohorquez-Alonso_et_al;2018;body_mass;massa_corpo;mass;mass;167;47;lab;paired;Lizard;Gallotia;Gallotia galloti;body;weapon;weapon;weapon;squeeze;50.12;1.033.684.671;24;57.5;1.288.431.605;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6214689;0.0873565;
ar120;Bohorquez-Alonso_et_al;2018;head_width;comprimento_arma;width;linear;168;47;lab;paired;Lizard;Gallotia;Gallotia galloti;weapon;weapon;weapon;weapon;squeeze;18.3;1.959.591.794;24;19.52;1.469.693.846;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.69280976;0.08833318;
ar102;Munoz-Zink;2012;pronotum_width;comprimento_corpo;width;linear;169;48;lab;paired;Dermaptera;Anisolabis;Anisolabis maritima;body;weapon;weapon;interm;squeeze.impact;NA;NA;NA;NA;NA;NA;29;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.06;0.16;
ar102;Munoz-Zink;2012;forceps_asymmetry;assimetria_arma;asym;asymmetry;170;48;lab;paired;Dermaptera;Anisolabis;Anisolabis maritima;weapon;weapon;weapon;interm;squeeze.impact;NA;NA;NA;NA;NA;NA;8.1;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.31;0.23;
ar102;Munoz-Zink;2012;pronotum_width;comprimento_corpo;width;linear;171;48;lab;paired;Dermaptera;Anisolabis;Anisolabis maritima;body;weapon;weapon;interm;squeeze.impact;NA;NA;NA;NA;NA;NA;5.54;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.39;0.4;
ar102;Munoz-Zink;2012;forceps_asymmetry;assimetria_arma;asym;asymmetry;172;48;lab;paired;Dermaptera;Anisolabis;Anisolabis maritima;weapon;weapon;weapon;interm;squeeze.impact;NA;NA;NA;NA;NA;NA;0.3;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.26;0.26;
ar125;Huyghe_et_al;2005;bite_force;forca_arma;strength;performance;173;49;lab;paired;Lizard;Gallotia;Gallotia galloti;weapon;weapon;weapon;weapon;squeeze;-0.17;1.044.030.651;109;0.17;0.835224521;109;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3584;0.0187;
